ID,LD50,Smiles
279,4.997,CCO[P+](=O)[O-].CCO[P+](=O)[O-].CCO[P+](=O)[O-].[Al+3]
280,0.75,o1cccc1c2nc3ccccc3[nH]2
281,5,o1cccc1c2nc3ccccc3[nH]2
282,0.35,CC(CC)C1C(=O)OC(C(=O)N(C)C(C(=O)OC(C(=O)N(C)C(C(C)C)C(=O)OC(C(C)C)C(=O)N1C)C(C)C)C(C)CC)C(C)C
283,2,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C
284,5,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C
285,3.6,CC(=CCCC(=CCO)C)C
286,10,CC(=CCCC(=CCO)C)C
287,2.25,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O
288,5,C[C@@]12[C@H](CC[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@H](C4)C(=C)C5)C(=O)O)OC2=O)O
289,5,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@H](C4)C(=C)C5)C(=O)O)OC2=O)O
290,2,CP(=O)(CCC(C(=O)[O-])N)O.[NH4+]
291,4.334,O=P(O)(O)CNCC(O)=O
292,2.25,C([P](=O)(O)O)N
293,0.079,C(CCCCN=C(N)N)CCCNCCCCCCCCN=C(N)N
294,0.414,O=C(O)[C@@H](C)Oc1ccc(cc1)Oc2ncc(cc2Cl)C(F)(F)F
295,1.159,CC(C(=O)OC)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)C(F)(F)F)Cl
296,5,C[C@H]2[C@@H](SC(=O)N2C(=O)NC1CCCCC1)c3ccc(Cl)cc3
297,1.085,O=C1C=C(C)ON1
298,0.387,O=C(O)c2ccccc2COc1cccc(n1)C(F)(F)F
299,0.51, Clc2ccc(C(OCC=C)Cn1 ccnc1)c(Cl)c2
